Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits
A Conversation with Friends & Family,Beau_bie,24820393,20 Jun 2020,Teen And Up Audiences,"F/M, M/M","Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,"1,490",1,7,152,6,2236
Meet the Malfoy's,Beau_bie,24820681,20 Jun 2020,Teen And Up Audiences,"F/M, M/M","Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,"2,255",1,12,184,5,2446
Deadly Craving,goldenzingy46,24820699,20 Jun 2020,General Audiences,No category,Major Character Death,Complete Work,English,331,1,8,117,8,1522
Wizarding World Through Verses,skekMal,24820717,25 Jul 2020,General Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,472,2,0,2,0,15
Vampire Love,sorrow_angel,24820753,20 Jun 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"9,724",5,4,180,21,4864
Полуденное солнце,AlpineEdelweiss,24820765,20 Jun 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,Русский,"1,706",1,2,7,0,80
Pretending,bushViperCutie,24820999,20 Jun 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,220",1,8,137,7,1657
Тени не гасят солнце,Philandering,24821086,20 Jun 2020,Teen And Up Audiences,M/M,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,Русский,"1,394",1,2,8,0,115
Loony & Strangelove,DeeNOss,24821119,20 Jun 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"40,146",28,0,22,2,888
Prisoner of War,madrose_writing,24821179,21 Jun 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"21,359",9,36,344,72,6194
Seven Years and 1.25-Carat Diamond,ardentiafrost,24821185,20 Jun 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,382",1,4,149,21,2114
The Assistant,Moon_and_mars,24821257,01 Jan 2021,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"12,170",14,10,43,4,1811
Where We End Is Fate,QuickSilverFox3,24821287,20 Jun 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"2,054",1,2,12,2,211
Toxic,rubberduckz84,24821443,26 Jun 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"62,833",20,16,66,7,1581
The Day I Met Ron Weasley,TMRIDDLES,24821521,20 Jun 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,774,1,0,30,1,411
The Doctor is always watching.,The1stBookworm,24821674,24 Nov 2020,General Audiences,"F/M, F/F, M/M","No Archive Warnings Apply, Choose Not To Use Archive Warnings",Work in Progress,English,"2,448",5,6,55,12,1508
Like Fire to Kindle,rubberduckz84,24821728,15 Jul 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"81,583",23,32,185,45,5569
living in the worst parts,lumoshyperion,24821839,16 Jul 2020,Not Rated,No category,No Archive Warnings Apply,Complete Work,English,"3,009",1,18,49,1,426
Gryffindor Courage,Hiraaaa,24822082,20 Jun 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,373",1,3,155,12,1923
clip your wings and grow them back,buttonholes,24822106,20 Jun 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"5,351",1,24,580,101,4047
Szok i osłupienie,Harpijka,24822355,20 Jun 2020,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,Polski,842,1,2,3,0,89
公路情缘,Stoneinthewater,24822499,20 Jun 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"3,042",1,2,33,2,854
Turning Out,theprodigypenguin,24822868,20 Jun 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"5,209",1,33,230,31,1241
[Podfic] Oath Breaker by GoblinCatKC,Peckishdragon,24822997,22 Jul 2020,Teen And Up Audiences,"M/M, Multi","Choose Not To Use Archive Warnings, Graphic Depictions Of Violence",Complete Work,English,395,28,73,122,39,6001
Cross Realm Reunions,twztdwildcat,24823288,20 Jun 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"5,187",1,9,26,8,1043
Путешествие куда угодно,rijsamurai,24823333,20 Jun 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,"6,481",1,12,50,3,305
Love Your Enemy,CashmereBunny,24823624,13 Jul 2020,Mature,F/M,"Graphic Depictions Of Violence, Rape/Non-Con",Work in Progress,English,"9,530",8,0,3,3,696
The Taxonomy of Charms,waterintheshadows,24823693,20 Jun 2020,Teen And Up Audiences,"F/F, M/M",No Archive Warnings Apply,Complete Work,English,"5,675",1,2,36,6,407
Широкий жест,rijsamurai,24823855,20 Jun 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,"12,139",6,8,38,5,276
The Family Veiws,rhiannonruns,24823918,20 Jun 2020,Not Rated,No category,No Archive Warnings Apply,Complete Work,English,"1,453",1,0,0,0,13
Worth Living For,waitingondaisies,24823945,16 Jan 2022,Teen And Up Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"12,487",7,84,415,61,6286
Not Broken,undercoverwarlock,24823963,20 Jun 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,742",1,38,340,35,2436
Bend Before the Sun,Lomonaaeren,24824071,20 Jun 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"5,938",1,39,949,100,10952
Plans,rice_and_beans,24824110,20 Jun 2020,Explicit,F/F,Choose Not To Use Archive Warnings,Work in Progress,English,"2,408",1,10,245,17,5795
Изжога,rijsamurai,24824212,20 Jun 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,"3,959",1,0,50,3,191
Like Rain to Fire,mangojuiceforever,24824242,29 Jun 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"5,247",4,0,1,0,6
Happiness,Isilloth,24824512,30 Jul 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,636,1,4,21,1,306
Aurora ad ouroboros,ArwenHermione,24824524,20 Jun 2020,Teen And Up Audiences,"F/M, Gen",No Archive Warnings Apply,Work in Progress,English,"1,769",1,2,11,3,155
Where we went wrong,Melime,24824659,20 Jun 2020,General Audiences,F/F,No Archive Warnings Apply,Complete Work,English,396,1,0,17,2,206
Onde as coisas deram errado,Melime GreenLeaf (Melime),24824662,20 Jun 2020,General Audiences,F/F,No Archive Warnings Apply,Complete Work,Português brasileiro,373,1,0,1,0,30
Heirlooms,Livelovelupin,24824770,20 Jun 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,185",1,2,44,2,303
Where The Falcons Fly [Podfic],Rionaa,24825166,22 Sep 2020,Mature,M/M,Graphic Depictions Of Violence,Work in Progress,English,163,30,16,33,6,2157
In Passo Veritas,Cissylein,24825475,20 Jun 2020,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"3,627",1,20,265,31,2698
No las necesitaba,Emily45,24825697,20 Jun 2020,Not Rated,"F/M, M/M",No Archive Warnings Apply,Complete Work,Español,"2,124",1,4,18,0,193
Whelve,thisflorilegium,24825811,20 Jun 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,100,1,0,20,1,247
2020,Samia8124,24825961,02 Jul 2020,General Audiences,No category,"Choose Not To Use Archive Warnings, Major Character Death",Work in Progress,English,0,1,0,0,0,0
Atlantis School of Sorcery,LadyRosalune,24826087,20 Sep 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"81,663",16,2,9,2,494
Hush,SeverelyBurnt_Toast,24826288,21 Sep 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"9,110",5,42,141,45,4147
A Starry Eighth Year,appalyneinstitute1,24826513,26 Dec 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"51,025",42,78,406,80,10456
"light, brought in buckets",Anonymous,24826633,20 Jun 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,887",1,2,57,4,1480
Пропавшая,AlpineEdelweiss,24826648,20 Jun 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,Русский,"6,838",1,0,13,1,140
The time i've lost,NaoYoshikawa,24826708,20 Jun 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"4,500",1,2,22,1,1097
the Slytherin black sheep,i_gacha_bro,24826804,20 Jun 2020,Not Rated,"Gen, Other",No Archive Warnings Apply,Complete Work,English,"1,948",1,1,40,5,477
The Flat in Bath,Ada_P_Rix (orphan_account),24826864,20 Jun 2020,Explicit,F/M,No Archive Warnings Apply,Work in Progress,English,"60,484",10,176,554,203,28424
Taking his pain away,aastridoul,24826948,20 Jun 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,348,1,0,25,1,403
La dernière Volonté : Erreur judiciaire à Azkaban,LeSaucissonDesTenebres,24826957,12 May 2021,Teen And Up Audiences,Gen,Graphic Depictions Of Violence,Complete Work,Français,"116,890",21,2,55,5,1344
Девять жизней,AlpineEdelweiss,24826975,20 Jun 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,Русский,"3,791",1,8,22,1,205
Their Choices Were Made,articcat621,24827362,20 Jun 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"1,295",1,0,4,3,207
Broken Melodies,WeeboftheWest,24827437,20 Jun 2020,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"20,520",18,0,2,0,27
EL FÉNIX DEL REY,Orseth,24827698,21 Jun 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,Español,"145,473",42,19,45,2,1300
Blood and Roses,orphan_account,24827740,20 Jun 2020,Explicit,M/M,Underage,Work in Progress,English,"2,689",1,13,143,21,1063
The game of whishes,NaoYoshikawa,24827827,20 Jun 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,449",1,0,16,0,419
"Kiss Me, Potter",melanie_bxx,24827881,21 Jun 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"8,293",1,34,1183,174,22732
Finding Their Way,sassy_cissa,24828130,20 Jun 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"8,980",1,19,751,138,8900
Pacify Часть 1: Осколки,Mortiferum,24828214,30 Jul 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,"40,386",11,28,93,7,2276
a clear midnight,marquelict,24828694,20 Jun 2020,General Audiences,F/F,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,"1,203",1,7,30,1,243
Sleeping Sirius,hannahsoapy,24828727,20 Jun 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,992",1,6,67,5,563
