Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits
Piparillinen,Beelsebutt,24231862,23 Dec 2011,General Audiences,F/F,No Archive Warnings Apply,Complete Work,Suomi,584,1,0,1,0,31
[Podfic] Leo Inter Serpentes - Third Year,lilolilyrae,24231910,25 Oct 2020,Teen And Up Audiences,"F/M, Gen, M/M",No Archive Warnings Apply,Complete Work,English,475,15,67,108,23,3967
Princess Potter,Lingual_Copper,24231979,17 Dec 2021,Explicit,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"47,562",15,106,404,127,15706
Mustaa joulua,Beelsebutt,24232045,28 Dec 2011,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Suomi,899,1,0,0,0,60
Hermione's restaurant moment,damonsgirl23,24232063,17 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,357,1,0,0,0,42
The Weasley Perspective,CharmHazel,24232111,05 Apr 2021,General Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"43,596",7,10,190,32,7217
"Thorns Along the Path, Roses Across the Bridge",fandomfairytales,24232513,17 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,495,1,2,52,3,837
Slider's Smut (Male edition),MultiverseFantasy,24232615,09 Jun 2020,Explicit,"F/F, F/M, M/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"15,075",23,15,67,10,9581
This Time,Subversa,24232630,12 Jul 2020,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"61,967",16,229,631,105,13354
Erised,All_circles,24232747,17 May 2020,Mature,F/F,No Archive Warnings Apply,Complete Work,English,607,1,0,64,3,1198
The Shadows of Tomorrow,lemonchase,24232759,23 Jun 2021,Mature,M/M,Underage,Work in Progress,English,"6,571",5,12,104,21,1785
Sepia-Gold/Blue-Green/Pink-Rose,All_circles,24232786,17 May 2020,Mature,F/F,No Archive Warnings Apply,Work in Progress,English,"3,300",2,2,21,3,635
Sliders Smut (Female Edition),MultiverseFantasy,24232807,09 Jun 2020,Explicit,"F/F, F/M, Multi",Choose Not To Use Archive Warnings,Work in Progress,English,"14,695",21,2,62,7,8965
Tempora Mutantur [Refreshed],LaFrae,24232984,31 May 2020,Teen And Up Audiences,F/M,Graphic Depictions Of Violence,Work in Progress,English,"22,052",2,22,71,21,2901
Satellites,jennandblitz,24233188,17 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"22,531",1,57,679,184,8598
How To Give Your Troublemaking Son Detention and Feel Like Complete Hypocrites: By Hermione & Draco Granger-Malfoy,fandomfairytales,24233215,17 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,497,1,4,105,11,1547
Padfoot Proven Innocent,Phoenix5680,24233284,17 May 2020,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,578,1,3,27,0,330
Unexpected Surprise,KingKay,24233515,17 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"4,383",1,9,202,23,2933
Breeding Ground: Override,megamatt09,24233581,17 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,196",1,0,14,10,3845
【授翻/哈德】Instinct,Billowyblue,24233653,17 May 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"25,634",1,0,121,15,5719
Breeding Ground: Risky Business,megamatt09,24233713,17 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,169",1,0,28,16,7457
By Your Side,Professor SS19 (ProfessorSS19),24233716,17 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"3,172",1,4,56,11,585
Au fil des conversations,Chalilodimun,24233809,02 Dec 2021,Explicit,M/M,No Archive Warnings Apply,Complete Work,Français,"272,081",25,14,19,5,989
Her Child,orphan_account,24233929,17 May 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,"4,775",2,16,113,28,1937
Always James,Phoenix5680,24233998,17 May 2020,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,909,1,2,8,0,173
Week 2: Gardenia / Secret Love,DramioneLDWS,24234055,21 May 2020,Mature,F/M,Major Character Death,Complete Work,English,"10,669",22,77,89,11,869
Just Harry,Phoenix5680,24234145,17 May 2020,General Audiences,No category,No Archive Warnings Apply,Work in Progress,English,"1,460",2,1,12,0,112
Hidden Truth,Phoenix5680,24234277,15 Apr 2019,General Audiences,No category,No Archive Warnings Apply,Work in Progress,English,"2,394",3,0,2,0,48
Moja Miłości,Chisek,24234316,17 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Polski,"1,687",1,2,10,2,347
but if you close your eyes,cloudlesslysky,24234484,03 Jul 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"3,314",1,15,102,10,967
Pretend,temptresslove,24234649,06 Jun 2020,Mature,"M/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"22,225",8,620,4015,727,45967
Off We Go,lilolilyrae,24234730,21 May 2020,General Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"2,264",4,0,4,0,29
Like The Sea On A Stormy Day,minervra,24234898,17 May 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"5,063",1,4,39,2,1005
Moon child,FreddieFoxBaxter,24234958,17 May 2020,General Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,English,"6,922",1,3,32,8,440
vanishing inside us,HogwartsToAlexandria,24234988,05 Aug 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"1,077",1,5,82,6,2145
The Sweetest Eyes,skelegro,24235075,19 May 2020,Teen And Up Audiences,"F/F, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"4,353",2,11,27,4,437
My Dear Snivellus & Prongs Too!,Neorulez,24235111,17 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,186",1,13,137,6,2412
What a Tangled Web We Weave,orphan_account,24235165,25 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"1,342",2,0,16,1,278
Please Stay,bratchet,24235288,17 May 2020,Mature,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"1,615",1,11,45,3,940
【GGAD| Fifty shades of albus| 五十度铜白】,Jasmine_LiveThroughThis,24235306,17 May 2020,Explicit,M/M,"Choose Not To Use Archive Warnings, Major Character Death",Complete Work,English,4,1,2,8,1,1326
The Guilded Splinter,TeddyRadiator,24235357,17 May 2020,Explicit,"F/M, Multi",No Archive Warnings Apply,Complete Work,English,"14,454",7,13,120,33,2551
Cherish Gifts Honestly Given,S_Pyo,24235450,17 May 2020,Teen And Up Audiences,"Gen, M/M, Other",No Archive Warnings Apply,Complete Work,English,"16,341",7,4,55,7,1579
"Pretty Pony, Pretty Mine",TeddyRadiator,24235657,17 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,592,1,0,27,1,1094
The Music We Make,TeddyRadiator,24235696,17 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"2,477",1,2,80,6,1600
They're the Best of Us,feeltheforcebruh,24235708,17 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,010",1,5,70,6,1040
Rewards,TeddyRadiator,24235756,17 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"1,000",1,2,67,4,1881
The Bite Of A Wolf,kasey_james,24235894,17 May 2020,Mature,M/M,"Graphic Depictions Of Violence, Major Character Death",Complete Work,English,"8,501",27,7,138,29,8202
Dark Objects,TeddyRadiator,24235924,17 May 2020,Mature,Multi,Major Character Death,Complete Work,English,"2,522",6,1,4,0,73
"Drabble Series, 2011 - Present",TeddyRadiator,24236059,17 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"52,845",136,60,48,6,1302
not finished loving you,seeingrightly,24236071,17 May 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"1,538",1,6,133,14,1092
Big Quidditch Hero,womeninthesequel,24236338,22 Dec 2020,Mature,"F/F, Gen",No Archive Warnings Apply,Work in Progress,English,"40,014",8,186,132,20,3018
Child Support,BookWorm77071,24236368,17 May 2020,Not Rated,F/M,No Archive Warnings Apply,Complete Work,English,"1,312",1,8,52,2,492
What the...,Emanning13,24236575,17 May 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,662,1,0,78,8,1114
The HP_Halloween Challenge,TeddyRadiator,24236590,17 May 2020,Mature,Multi,No Archive Warnings Apply,Complete Work,English,"1,412",7,0,4,0,75
I Think I've Always Known,matters17793,24236605,13 Nov 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,375",4,4,71,6,2249
Shattered Memory: Dark Magic,SilverDireWolf,24236704,29 May 2020,Explicit,Multi,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"24,595",11,28,53,17,1984
一场性爱,Antinous01,24236737,18 May 2020,Not Rated,M/M,No Archive Warnings Apply,Complete Work,中文-普通话 國語,"1,804",1,0,9,0,915
The Rounds,TeddyRadiator,24236773,17 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"3,890",1,2,61,4,799
Candilejas,Moneneki,24236878,17 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,Español,"4,960",1,2,5,0,109
Canis Majoris et Lupus.,MerasaviaAnderson,24236926,17 May 2020,Explicit,Multi,Choose Not To Use Archive Warnings,Complete Work,Italiano,"3,363",1,0,5,0,125
Your Heart on a Journey Alone,Darci,24237019,17 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,314",1,2,23,4,188
The Game Changes,TeddyRadiator,24237043,17 May 2020,Mature,Gen,Major Character Death,Complete Work,English,"1,600",1,5,47,4,702
Rejected,Kai_Embers,24237061,25 Sep 2021,Explicit,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"63,967",16,479,1765,358,53198
Sleep Song,TeddyRadiator,24237151,17 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"1,999",1,9,159,11,2957
The Sempra Deck,TeddyRadiator,24237328,17 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"46,974",9,0,25,8,769
A New World,Abraham1997AragonPotter,24237598,18 May 2020,Not Rated,F/M,Choose Not To Use Archive Warnings,Complete Work,English,619,1,1,27,7,1416
Hermione and the Veela,idk_books,24237670,17 May 2020,Not Rated,"F/F, Gen",Choose Not To Use Archive Warnings,Complete Work,English,"1,516",1,3,49,5,576
Burn Down The Mission,TeddyRadiator,24237691,17 May 2020,Explicit,F/M,Major Character Death,Complete Work,English,"18,853",7,26,134,20,3630
Dragon's Touch,pushkin666,24237724,17 May 2020,General Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,100,1,2,55,3,798
Spells,DarkNymfa,24237754,31 Oct 2018,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"4,241",1,2,224,6,1686
Fish Out Of Water,yona (hazuki_15),24237871,31 May 2020,General Audiences,"F/M, M/M",No Archive Warnings Apply,Work in Progress,English,"4,598",3,4,31,5,343
daisy chain lovers,Beyond_the_Grace,24237877,17 May 2020,General Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"1,702",1,31,1235,117,10073
Alone,Lady_Lala,24238048,25 May 2020,General Audiences,"F/M, Gen",No Archive Warnings Apply,Work in Progress,English,"9,707",8,0,0,0,16
Wine Red,atlantablack,24238111,17 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,352,1,1,123,8,3309
The Deeds And Sufferings of Light,TeddyRadiator,24238252,17 May 2020,Mature,Multi,No Archive Warnings Apply,Complete Work,English,"3,139",1,2,6,0,63
Unerringly Harry,hp_fangal,24238348,17 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,189",1,6,85,9,977
Easy,TeddyRadiator,24238444,17 May 2020,Explicit,F/M,Major Character Death,Complete Work,English,"3,041",1,4,87,10,1162
A Lesson In Defense,Chocolate25,24238579,17 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Français,"1,994",1,0,45,4,634
On A Warm August Day,articcat621,24238600,17 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,388,1,2,20,3,264
Stained Glass Floor,TeddyRadiator,24238603,17 May 2020,Mature,F/M,Major Character Death,Complete Work,English,328,1,0,10,0,200
Entre apostas e... Beijos?,Artemisia_Jackson,24238747,17 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,Português brasileiro,"6,453",3,0,6,2,102
Draco's Letters,CallMeAlyKat,24238762,17 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,995",1,10,200,19,1560
Sunday baths,Dracunculusvulgaris,24238879,17 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,0,1,10,129,9,1663
The ABC's Of The Man,TeddyRadiator,24238936,17 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"7,303",3,0,36,9,1588
My Godson,HopelessAndWandering,24238996,17 May 2020,General Audiences,"F/M, Gen, Other",Choose Not To Use Archive Warnings,Complete Work,English,"5,610",1,6,153,36,1198
Love You More,HopelessAndWandering,24239164,17 May 2020,General Audiences,"Gen, Other",Choose Not To Use Archive Warnings,Complete Work,English,"7,524",1,19,405,61,3159
Caught in the wind (swallowed by the lake),The_odd_one,24239203,17 May 2020,General Audiences,Other,Choose Not To Use Archive Warnings,Complete Work,English,"1,086",1,3,69,2,832
Captive at Nurmengard,Birger,24239260,30 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"4,725",3,0,21,1,722
The Magical Love Story of Albus Potter & Scorpius Malfoy,Aubrey_Jean,24239323,03 Mar 2021,Teen And Up Audiences,"Gen, Other, F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"23,518",20,0,8,2,591
EXTRA CHAPTER TWO - HOME DESIGN,orphan_account,24239338,17 May 2020,Not Rated,No category,No Archive Warnings Apply,Complete Work,English,"5,387",1,1,7,1,82
Wonders Never Cease,HopelessAndWandering,24239350,21 Jun 2020,Teen And Up Audiences,"F/M, Gen, Other","Graphic Depictions Of Violence, No Archive Warnings Apply",Work in Progress,English,"14,987",3,7,43,9,659
Imposter Syndrome,ReverendKilljoy,24239401,31 May 2020,Explicit,"F/F, F/M",No Archive Warnings Apply,Work in Progress,English,"11,326",7,14,15,2,636
Flight of the Stars,DarkLadySwan,24239449,27 May 2021,Teen And Up Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"128,717",29,164,262,51,12788
No Bright Line,lady_grey,24239470,17 May 2021,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"106,063",13,522,2110,688,44118
"""Make me""",pandora_rose_xo,24239476,17 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,640,1,4,24,1,609
The Sin Eater,TeddyRadiator,24239491,17 May 2020,Explicit,F/M,"Graphic Depictions Of Violence, Major Character Death",Complete Work,English,"1,803",1,8,42,5,881
heaven.,wisegirlgranger (formlessbIob),24239530,17 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,011",1,1,64,3,880
The Slave,TeddyRadiator,24239665,17 May 2020,Explicit,F/M,"No Archive Warnings Apply, Rape/Non-Con",Complete Work,English,"11,787",7,25,151,25,8130
This Will Be,mxstyassasxin,24239797,17 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,669,1,1,31,1,409
Justice and Harmony,geeky_page,24239827,13 Sep 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"65,575",22,57,269,32,6823
The Bookworm and the Bloody Bird,LeoLeonte,24240175,15 Jul 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"75,535",27,11,128,46,3015
The Seven Year Courtship,crazyparakiss,24240238,28 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"8,232",1,54,1061,194,11445
Keep Holding On,gnarf,24240274,05 Jul 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"33,333",4,79,425,114,5774
Insecurities,Midmorning,24240331,20 May 2020,Not Rated,"F/F, F/M, Gen, M/M, Other",Choose Not To Use Archive Warnings,Complete Work,English,"2,048",3,16,124,12,3242
the word you're looking for is family,durmstrangs (ultravioleta),24240406,17 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"3,986",1,3,30,5,261
The Veela and The Dragon Tamer,Tinkerbell2232,24240628,04 Oct 2021,Explicit,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"3,122",3,5,10,2,809
A Different Path,Tinkerbell2232,24240802,17 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,961,1,0,5,0,193
Harry's Fucking Non-existent Boyfriend,aroundloafofbread,24240811,17 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,060",1,86,4527,643,34973
so they dug your grave (at the mess you made),Nocturnememory,24240976,18 May 2020,Teen And Up Audiences,"F/M, Gen, M/M",No Archive Warnings Apply,Complete Work,English,"2,714",1,24,161,39,1860
daisy chains,asmileyoucouldbottle,24241024,17 May 2020,General Audiences,F/F,No Archive Warnings Apply,Complete Work,English,441,1,2,47,7,422
Closeted Secrets,Imtheseme,24241054,18 May 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"1,069",1,3,210,15,1854
Alone in the World,Tinkerbell2232,24241060,17 May 2020,Mature,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"1,825",2,4,14,1,338
The Marriage Rock,duplicity,24241405,19 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,128",2,84,1129,174,6875
An Interesting Game of Truth or Dare...,Aella_S,24241426,17 May 2020,Explicit,F/F,No Archive Warnings Apply,Complete Work,English,"1,530",1,7,104,11,3581
"Get A New Watch, Potter!",tinkerbelldetention101,24241486,17 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,244",1,1,13,0,239
Первое утро. Доброе утро.,okzzzzana,24241675,17 May 2020,Not Rated,M/M,No Archive Warnings Apply,Complete Work,Русский,541,1,1,8,0,89
Первое утро.,okzzzzana,24241819,17 May 2020,Not Rated,M/M,No Archive Warnings Apply,Complete Work,Русский,236,1,0,19,0,332
[Filk] Malfoy in the Bathroom,klb,24241825,17 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,13,1,7,9,1,49
Congratulations,Flying_Flitwicks,24241915,17 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,019",1,2,121,18,1891
Haunted Together,SunflowerWoman,24242113,08 Jul 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"35,278",10,49,305,85,10426
Epiphanies,Flying_Flitwicks,24242260,17 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,223",1,8,162,16,2045
Of Ties and Significant Annoyances,seokjinvilla,24242404,17 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,338",1,20,655,45,5614
The Day of Reckoning,Flying_Flitwicks,24242425,17 May 2020,Teen And Up Audiences,No category,Major Character Death,Complete Work,English,"9,236",2,6,61,14,914
Encore?,darklordtomarry (alarminghella),24242527,17 May 2020,Explicit,F/F,Choose Not To Use Archive Warnings,Complete Work,English,"2,964",1,4,77,11,1515
A way out,BoredomBeckons,24242557,17 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,344,1,0,14,1,139
Black Days,dirtyuncle,24242599,13 Dec 2021,Explicit,F/M,"Rape/Non-Con, Underage",Complete Work,English,"14,882",6,43,582,145,73017
Harry Potter One Shots,YesraMorningstar,24242725,18 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"3,263",4,0,64,1,2598
Lemon Additions,YesraMorningstar,24242845,18 May 2020,Explicit,F/M,Major Character Death,Complete Work,English,"2,145",2,1,37,3,3162
Sweet Red,januarywren,24242992,14 Jul 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"4,661",2,74,415,63,12395
Remember Me,orphan_account,24243031,26 Jun 2020,Explicit,M/M,No Archive Warnings Apply,Work in Progress,English,"42,729",20,371,1436,302,37349
Tiempo de calidad,RottenLetters,24243487,18 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Español,406,1,2,32,0,294
The secret life of Albus Dumbledore,DrusillaTheBloody,24243547,18 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,269,1,0,1,0,22
RS3 Outtake: Lesson Plans,pipisafoat,24243610,17 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,487,1,5,68,1,679
Sound of Silence,PipZeppelin,24243718,18 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,185",1,2,7,0,127
the theory of dance,blessedreylo,24243868,20 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"6,351",2,47,419,79,4672
Harry Potter and the time Draco wanted to fight Harry's insecurities to the death,meshtams (orphan_account),24244003,18 May 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,950,1,4,168,10,2333
The Burrow,SeekerSpock32,24244006,18 May 2020,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,"4,001",1,0,23,3,514
5 First Impressions of Harry Donahue-Potter + 1,IzzyMRDB (orphan_account),24244060,25 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"2,807",6,125,1120,68,9659
Decreed to the Beyond,luxiebutton,24244195,15 Jun 2020,Mature,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"18,299",7,25,198,32,4630
Secrets,Rotehexe,24244312,18 May 2020,Explicit,"F/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"3,347",1,7,90,17,2888
Marauding Hour,Flying_Flitwicks,24244357,10 Jul 2020,General Audiences,No category,No Archive Warnings Apply,Work in Progress,English,"7,177",3,7,24,4,236
Show Me a World Where the Sky is Still Blue,theprodigypenguin,24244369,19 Jun 2020,Explicit,M/M,"Graphic Depictions Of Violence, Major Character Death",Complete Work,English,"33,307",4,12,64,12,1745
Wholeheartedly,Youwerenevermeanttofeelalone,24244462,18 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,390",1,1,87,3,1278
Much Needed Therapy,Pathtales,24244552,18 May 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"1,388",1,0,17,1,138
Fred Weasley x Male Reader (Chapter One),Male_Reader_Male_Character,24244573,18 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"3,113",2,2,34,4,719
Dancing on the rooftop,snipeyozora,24244663,18 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,820,1,0,1,0,42
Sweet Blood,CryBabyClub,24244960,18 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,323,1,1,64,0,714
SIGIL,Lexy_Gray,24245008,12 Sep 2021,General Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,Español,"5,071",2,4,12,3,279
Harry Gets Pissed,Analitac,24245335,18 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,933,1,0,113,6,1020
Classroom 204,Mimifreed,24245650,18 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"14,281",1,32,644,122,8260
Cuando el amor es tanto que sobra.,Lexy_Gray,24245794,17 May 2020,Not Rated,"M/M, Multi",No Archive Warnings Apply,Work in Progress,Español,"1,509",1,1,18,1,292
The Day After the Full Moom,flamingwaterworks,24246088,22 May 2020,General Audiences,Multi,No Archive Warnings Apply,Complete Work,English,"3,447",7,0,28,1,970
The Timelord Potter: The Reapers of Shan Shen,TheGeekyFolkteller,24246430,12 Jan 2021,General Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"37,770",9,31,54,17,1206
Bee Mine,IvoryRaven,24246880,18 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,662",1,12,239,27,2511
Broken Feathers || Marauders Era,StarryPaws18,24247132,23 Feb 2021,Teen And Up Audiences,"F/F, F/M",No Archive Warnings Apply,Work in Progress,English,"21,173",14,11,21,9,551
Till death do us part,NorthoftheNorth,24247228,18 May 2020,General Audiences,Multi,No Archive Warnings Apply,Work in Progress,English,585,1,0,2,1,127
Late,orphan_account,24247237,18 May 2020,Explicit,F/M,Underage,Complete Work,English,506,1,0,106,8,9116
Ickle Firsties,LyraWrites,24247417,18 May 2020,General Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,English,"3,343",1,12,168,14,2314
咖啡店AU之類的,snipeyozora,24248074,18 May 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"1,753",1,0,0,0,48
Your Royal Highness,sirrriusblack,24248164,18 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"6,504",3,0,2,0,21
Suspicions,majestic_glory,24248329,18 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,488,1,1,113,3,1654
toujours pur,novoaa1,24248470,20 May 2020,Explicit,F/F,Choose Not To Use Archive Warnings,Work in Progress,English,"4,842",2,40,458,42,8992
Death Loved,ThirteenRedVampireBites,24248473,18 May 2020,General Audiences,"F/M, M/M, Multi",No Archive Warnings Apply,Complete Work,English,519,1,0,22,1,250
Harry Potter's New School,RiceKrispies34,24248578,25 Feb 2021,Explicit,"F/M, F/F, M/M, Multi",Underage,Work in Progress,English,"8,940",4,28,629,152,79167
Ending doesn't sound (like the happiest around),a_sentimental_man,24248614,08 Jun 2020,General Audiences,Gen,Major Character Death,Complete Work,English,"2,878",1,5,71,14,830
Revival,1slyslytherin1,24249247,18 May 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,256",3,0,12,1,390
Half Light,BanditLemur,24249322,10 Jun 2020,Mature,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"16,635",4,5,55,9,1251
Practice Makes Perfect,DesperateMeasures,24249637,18 May 2020,Mature,M/M,Underage,Complete Work,English,"4,838",1,34,468,41,6412
Lähtölaskenta uuteen vuoteen,Beelsebutt,24249652,01 Jan 2012,General Audiences,"F/M, M/M",No Archive Warnings Apply,Complete Work,Suomi,0,1,0,0,0,43
The Desperate Uncertainty of Love,sareliz,24249802,20 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"6,647",3,43,256,33,4877
"Take Me Back, Fall Twice, Hold On Once",3hrys,24249853,18 May 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"6,259",3,3,79,15,2021
"Of pocket space, spare change, and finders keepers",Displacer Beast (Kasan_Soulblade),24249877,15 Jun 2020,General Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"8,433",5,5,43,10,440
Indespærret,Afterthebattle,24249922,21 Sep 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,Dansk,"185,051",38,13,6,4,451
The Quest Of A Ginger Cat,Krummbein,24249931,24 Apr 2022,Mature,F/M,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"159,762",35,1163,933,264,40877
The Git Down the Hall,MatthewWuzHere,24249982,18 May 2020,Explicit,M/M,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Work in Progress,English,"2,122",1,0,26,1,310
have you never seen a fire truck?,tonguetide,24250003,18 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"9,272",1,7,63,8,1067
